crate	lint	api	reason
boxddd	inherent_method_missing	FilterJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	Hull::try_clone_transformed	result_first_api
boxddd	inherent_method_missing	JointId::from_raw	owner_scoped_handles
boxddd	inherent_method_missing	JointId::into_raw	owner_scoped_handles
boxddd	inherent_method_missing	JointId::is_valid	owner_scoped_handles
boxddd	inherent_method_missing	JointType::from_raw	result_first_api
boxddd	inherent_method_missing	MotorJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	MotorJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	ParallelJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	ParallelJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	PrismaticJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	PrismaticJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	ReplayWorldId::from_raw	owner_scoped_handles
boxddd	inherent_method_missing	ReplayWorldId::into_raw	owner_scoped_handles
boxddd	inherent_method_missing	ReplayWorldId::is_valid	owner_scoped_handles
boxddd	inherent_method_missing	RevoluteJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	RevoluteJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	ShapeDef::raw	result_first_api
boxddd	inherent_method_missing	ShapeId::from_raw	owner_scoped_handles
boxddd	inherent_method_missing	ShapeId::into_raw	owner_scoped_handles
boxddd	inherent_method_missing	ShapeId::is_valid	owner_scoped_handles
boxddd	inherent_method_missing	SphericalJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	SphericalJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	TaskSystem::try_blocking_threads	result_first_api
boxddd	inherent_method_missing	WeldJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	WeldJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	WheelJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	WheelJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	World::debug_draw_collect	result_first_api
boxddd	inherent_method_missing	World::debug_draw_collect_into	result_first_api
boxddd	inherent_method_missing	World::is_valid	result_first_api
boxddd	inherent_method_missing	World::raw	result_first_api
boxddd	inherent_method_missing	World::start_recording	result_first_api
boxddd	inherent_method_missing	World::stop_recording	result_first_api
boxddd	inherent_method_missing	World::try_apply_angular_impulse	result_first_api
boxddd	inherent_method_missing	World::try_apply_force	result_first_api
boxddd	inherent_method_missing	World::try_apply_force_to_center	result_first_api
boxddd	inherent_method_missing	World::try_apply_linear_impulse	result_first_api
boxddd	inherent_method_missing	World::try_apply_linear_impulse_to_center	result_first_api
boxddd	inherent_method_missing	World::try_apply_mass_from_shapes	result_first_api
boxddd	inherent_method_missing	World::try_apply_shape_wind	result_first_api
boxddd	inherent_method_missing	World::try_apply_torque	result_first_api
boxddd	inherent_method_missing	World::try_awake_body_count	result_first_api
boxddd	inherent_method_missing	World::try_body_aabb	result_first_api
boxddd	inherent_method_missing	World::try_body_angular_damping	result_first_api
boxddd	inherent_method_missing	World::try_body_angular_velocity	result_first_api
boxddd	inherent_method_missing	World::try_body_awake	result_first_api
boxddd	inherent_method_missing	World::try_body_bullet	result_first_api
boxddd	inherent_method_missing	World::try_body_cast_ray	result_first_api
boxddd	inherent_method_missing	World::try_body_cast_ray_with_options	result_first_api
boxddd	inherent_method_missing	World::try_body_cast_ray_with_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_cast_shape	result_first_api
boxddd	inherent_method_missing	World::try_body_cast_shape_with_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_closest_point	result_first_api
boxddd	inherent_method_missing	World::try_body_collide_mover	result_first_api
boxddd	inherent_method_missing	World::try_body_collide_mover_into_with_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_collide_mover_with_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_contact_recycling_enabled	result_first_api
boxddd	inherent_method_missing	World::try_body_contacts	result_first_api
boxddd	inherent_method_missing	World::try_body_contacts_into	result_first_api
boxddd	inherent_method_missing	World::try_body_enabled	result_first_api
boxddd	inherent_method_missing	World::try_body_events	result_first_api
boxddd	inherent_method_missing	World::try_body_events_into	result_first_api
boxddd	inherent_method_missing	World::try_body_gravity_scale	result_first_api
boxddd	inherent_method_missing	World::try_body_inverse_mass	result_first_api
boxddd	inherent_method_missing	World::try_body_joints	result_first_api
boxddd	inherent_method_missing	World::try_body_joints_into	result_first_api
boxddd	inherent_method_missing	World::try_body_linear_damping	result_first_api
boxddd	inherent_method_missing	World::try_body_linear_velocity	result_first_api
boxddd	inherent_method_missing	World::try_body_local_center_of_mass	result_first_api
boxddd	inherent_method_missing	World::try_body_local_point	result_first_api
boxddd	inherent_method_missing	World::try_body_local_point_velocity	result_first_api
boxddd	inherent_method_missing	World::try_body_local_rotational_inertia	result_first_api
boxddd	inherent_method_missing	World::try_body_local_vector	result_first_api
boxddd	inherent_method_missing	World::try_body_mass	result_first_api
boxddd	inherent_method_missing	World::try_body_mass_data	result_first_api
boxddd	inherent_method_missing	World::try_body_motion_locks	result_first_api
boxddd	inherent_method_missing	World::try_body_name	result_first_api
